Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N1C3W4_CL2_1_5_D.BPPFI, CL2_1_5,50,1,0,11,11,11,11,0,0,0,0,0,0.006,0.005,0,0,0.012
N1C3W4_CL2_1_5_E.BPPFI, CL2_1_5,50,1,0,11,11,11,11,0,0,0,0,0,0.006,0,0,0,0.006
N1C3W4_CL2_3_3_A.BPPFI, CL2_3_3,50,1,0,11,11,11,11,0,0,0,0,0,0.006,0.004,0,0,0.01
N1C3W4_CL2_3_3_B.BPPFI, CL2_3_3,50,1,0,11,11,11,11,0,0,0,0,0,0.006,0.004,0,0,0.012
N1C3W4_CL2_3_3_C.BPPFI, CL2_3_3,50,1,0,11,12,12,12,0,3218,20,2479,2479,0.004,0.004,0.505,0.533,1.239
N1C3W4_CL2_3_3_D.BPPFI, CL2_3_3,50,1,0,11,11,11,11,0,0,0,0,0,0.005,0.004,0,0,0.01
N1C3W4_CL2_3_3_E.BPPFI, CL2_3_3,50,1,0,11,11,11,11,0,0,0,0,0,0.005,0.004,0,0,0.011
N1C3W4_CL2_3_4_A.BPPFI, CL2_3_4,50,1,0,10,10,10,10,0,0,0,0,0,0.005,0.005,0,0,0.011
N1C3W4_CL2_3_4_B.BPPFI, CL2_3_4,50,1,0,10,10,10,10,0,0,0,0,0,0.006,0.005,0,0,0.011
N1C3W4_CL2_3_4_C.BPPFI, CL2_3_4,50,1,0,10,10,10,10,0,0,0,0,0,0.005,0.004,0,0,0.01
N1C3W4_CL2_3_4_D.BPPFI, CL2_3_4,50,1,0,10,10,10,10,0,0,0,0,0,0.006,0.005,0,0,0.012
N1C3W4_CL2_3_4_E.BPPFI, CL2_3_4,50,1,0,10,10,10,10,0,0,0,0,0,0.005,0.004,0,0,0.009
N2C1W1_CL1_1_3_A.BPPFI, CL1_1_3,100,0,0.041666667,23,23,24,24,0,13221313,64071,10759690,10759690,0.005,0.009,2254.93,1146.38,3600
N2C1W1_CL1_1_3_B.BPPFI, CL1_1_3,100,1,0,24,24,24,24,0,0,0,0,0,0.005,0.011,0,0,0.017
N2C1W1_CL1_1_3_C.BPPFI, CL1_1_3,100,1,0,22,23,23,23,0,550,1,451,451,0.005,0.01,0.23,0.163,0.516
N2C1W1_CL1_1_3_D.BPPFI, CL1_1_3,100,1,0,24,24,24,24,0,0,0,0,0,0.005,0.009,0,0,0.015
N2C1W1_CL1_1_3_E.BPPFI, CL1_1_3,100,1,0,27,27,27,27,0,0,0,0,0,0.006,0.008,0,0,0.015
N2C1W1_CL1_1_5_A.BPPFI, CL1_1_5,100,1,0,16,16,16,16,0,0,0,0,0,0.006,0.011,0,0,0.017
N2C1W1_CL1_1_5_B.BPPFI, CL1_1_5,100,1,0,16,16,16,16,0,0,0,0,0,0.005,0.01,0,0,0.016
N2C1W1_CL1_1_5_C.BPPFI, CL1_1_5,100,1,0,16,16,16,16,0,0,0,0,0,0.005,0.011,0,0,0.018
N2C1W1_CL1_1_5_D.BPPFI, CL1_1_5,100,0,0.058823529,16,16,17,17,0,14855231,105483,12081291,12081291,0.006,0.012,1946.373,1422.424,3600.006
N2C1W1_CL1_1_5_E.BPPFI, CL1_1_5,100,1,0,18,18,18,18,0,0,0,0,0,0.005,0.011,0,0,0.017
N2C1W1_CL2_1_5_A.BPPFI, CL2_1_5,100,1,0,23,23,23,23,0,0,0,0,0,0.005,0.007,0,0,0.013
N2C1W1_CL2_1_5_B.BPPFI, CL2_1_5,100,1,0,22,22,22,22,0,0,0,0,0,0.006,0.01,0,0,0.018
N2C1W1_CL2_1_5_C.BPPFI, CL2_1_5,100,1,0,22,22,22,22,0,0,0,0,0,0.005,0.007,0,0,0.013
N2C1W1_CL2_1_5_D.BPPFI, CL2_1_5,100,1,0,23,23,23,23,0,0,0,0,0,0.005,0.006,0,0,0.012
N2C1W1_CL2_1_5_E.BPPFI, CL2_1_5,100,1,0,23,23,24,23,0,552583,3410,413555,413555,0.005,0.008,57.079,40.167,104.367
N2C1W1_CL2_3_3_A.BPPFI, CL2_3_3,100,1,0,22,22,23,22,0,17702,130,12374,12374,0.005,0.007,2.59,2.075,5.16
N2C1W1_CL2_3_3_B.BPPFI, CL2_3_3,100,1,0,22,22,23,22,0,21857,123,16002,16002,0.007,0.009,3.333,2.724,6.576
N2C1W1_CL2_3_3_C.BPPFI, CL2_3_3,100,1,0,22,22,22,22,0,0,0,0,0,0.005,0.006,0,0,0.012
N2C1W1_CL2_3_3_D.BPPFI, CL2_3_3,100,0,0.043478261,22,22,23,23,0,11557286,44728,8829870,8829870,0.005,0.007,2152.689,1293.339,3600.065
N2C1W1_CL2_3_3_E.BPPFI, CL2_3_3,100,1,0,24,24,24,24,0,0,0,0,0,0.006,0.006,0,0,0.013
N2C1W1_CL2_3_4_A.BPPFI, CL2_3_4,100,1,0,19,19,20,19,0,18574,100,13345,13345,0.005,0.01,3.782,3.187,7.475
N2C1W1_CL2_3_4_B.BPPFI, CL2_3_4,100,1,0,20,20,20,20,0,0,0,0,0,0.006,0.009,0,0,0.015
N2C1W1_CL2_3_4_C.BPPFI, CL2_3_4,100,1,0,19,19,19,19,0,0,0,0,0,0.004,0.01,0,0,0.015
N2C1W1_CL2_3_4_D.BPPFI, CL2_3_4,100,1,0,19,20,20,20,0,6660,31,5063,5063,0.004,0.01,1.951,1.611,3.835
N2C1W1_CL2_3_4_E.BPPFI, CL2_3_4,100,1,0,21,21,22,21,0,460939,5147,332322,332322,0.004,0.007,30.105,25.92,62.001
N2C1W2_CL1_1_3_A.BPPFI, CL1_1_3,100,1,0,28,29,29,29,0,419,1,320,320,0.005,0.008,0.138,0.109,0.361
N2C1W2_CL1_1_3_B.BPPFI, CL1_1_3,100,0,0.034482759,28,28,29,29,0,14134709,67833,11067563,11067563,0.005,0.007,2195.72,1227.749,3600.047
N2C1W2_CL1_1_3_C.BPPFI, CL1_1_3,100,0,0.033333333,29,29,30,30,0,13864863,66146,10795110,10795110,0.005,0.007,2148.387,1284.375,3600.028
N2C1W2_CL1_1_3_D.BPPFI, CL1_1_3,100,1,0,32,33,33,33,0,383,1,284,284,0.005,0.007,0.112,0.091,0.309
