Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N3C1W2_CL1_1_3_A.BPPFI, CL1_1_3,200,0,0.034482759,56,56,58,58,0,6418029,13815,5182023,5182023,0.006,150.001,2210.85,1139.279,3600.298
N3C1W2_CL1_1_3_B.BPPFI, CL1_1_3,200,0,0.033333333,58,58,60,60,0,7964504,18505,6297166,6297166,0.006,150.001,2119.566,1213.614,3600.103
N3C1W2_CL1_1_3_C.BPPFI, CL1_1_3,200,0,0.033333333,58,58,60,60,0,8337129,20599,6679175,6679175,0.006,150.001,2182.593,1145.766,3600.017
N3C1W2_CL1_1_3_D.BPPFI, CL1_1_3,200,0,0.031746032,61,61,63,63,0,7718666,17737,6102087,6102087,0.005,150.001,2158.964,1177.447,3600.034
N3C1W2_CL1_1_3_E.BPPFI, CL1_1_3,200,0,0.049180328,58,58,61,61,0,12599204,45363,9872595,9872595,0.006,150.001,2058.203,1230.343,3600.022
N3C1W2_CL1_1_5_A.BPPFI, CL1_1_5,200,1,0,39,39,40,39,0,2533694,12036,2128918,2128918,0.006,150.001,847.481,472.142,1516.346
N3C1W2_CL1_1_5_B.BPPFI, CL1_1_5,200,0,0.026315789,37,37,38,38,0,2552195,3347,2139528,2139528,0.005,150.001,2282.074,1101.177,3600.818
N3C1W2_CL1_1_5_C.BPPFI, CL1_1_5,200,1,0,40,40,41,40,0,8811222,77013,7235190,7235190,0.005,150.001,1132.574,809.903,2227.68
N3C1W2_CL1_1_5_D.BPPFI, CL1_1_5,200,1,0,42,42,43,42,0,174175,586,140932,140932,0.004,150.001,72.685,39.82,266.391
N3C1W2_CL1_1_5_E.BPPFI, CL1_1_5,200,0,0.024390244,40,40,41,41,0,2784590,4442,2327752,2327752,0.007,150.001,2264.768,1112.098,3600.492
N3C1W2_CL2_1_5_A.BPPFI, CL2_1_5,200,0,0.02,49,49,50,50,0,4344587,5993,3450305,3450305,0.006,150.001,2222.898,1149.171,3600.72
N3C1W2_CL2_1_5_B.BPPFI, CL2_1_5,200,1,0,50,51,51,51,0,952,1,753,753,0.005,150,0.556,0.285,150.95
N3C1W2_CL2_1_5_C.BPPFI, CL2_1_5,200,0,0.019607843,50,50,51,51,0,4807190,6968,3771172,3771172,0.005,150.001,2176.373,1189.373,3600.154
N3C1W2_CL2_1_5_D.BPPFI, CL2_1_5,200,0,0.018867925,52,52,53,53,0,8947390,19509,6755390,6755390,0.006,150.001,1968.065,1366.325,3600.155
N3C1W2_CL2_1_5_E.BPPFI, CL2_1_5,200,0,0.038461538,50,50,52,52,0,11690113,37466,9088519,9088519,0.007,150.001,2017.512,1296.227,3600.102
N3C1W2_CL2_3_3_A.BPPFI, CL2_3_3,200,0,0.038461538,50,50,52,52,0,48044436,1480961,30724863,30724863,0.005,150.001,1726.3,1177.829,3600
